data,ticker,preco_fechamento_ajustado,volume_negociado,dy
2017-11-30,ABEV3,16.65,505599229.0,0.021887159533073932
2017-12-31,ABEV3,17.45,210862021.0,0.02537593984962406
2018-01-31,ABEV3,18.0,270010818.0,0.024601366742596813
2018-02-28,ABEV3,18.1,1383918081.0,0.024545454545454547
2018-03-31,ABEV3,19.8,299976348.0,0.02243456584960532
2018-04-30,ABEV3,19.19,142449119.0,0.023146163737676813
2018-05-31,ABEV3,16.2,640477520.0,0.027425088877602845
2018-06-30,ABEV3,14.92,240442921.0,0.03003337041156841
2018-07-31,ABEV3,16.11,254926489.0,0.027820710973724887
2018-08-31,ABEV3,15.64,502049896.0,0.028647214854111404
2018-09-30,ABEV3,15.22,165995926.0,0.02944383860414395
2018-10-31,ABEV3,13.56,441077040.0,0.03304773561811506
2018-11-30,ABEV3,14.04,590720096.0,0.031914893617021274
2018-12-31,ABEV3,12.99,239328401.0,0.03576072821846554
2019-01-31,ABEV3,14.78,401957579.0,0.02741290691033695
2019-02-28,ABEV3,14.55,873194161.0,0.027858386535113175
2019-03-31,ABEV3,14.21,266746723.0,0.028520499108734408
2019-04-30,ABEV3,15.59,462254186.0,0.025988088792636713
2019-05-31,ABEV3,14.82,403790274.0,0.02735042735042735
2019-06-30,ABEV3,15.1,309726253.0,0.01788708775852432
2019-07-31,ABEV3,17.0,543606226.0,0.015896671634376556
2019-08-31,ABEV3,15.81,429769433.0,0.0170940170940171
2019-09-30,ABEV3,16.25,417377914.0,0.016623376623376627
2019-10-31,ABEV3,14.67,356462523.0,0.01841196777905639
2019-11-30,ABEV3,15.24,149988134.0,0.01772853185595568
2019-12-31,ABEV3,16.11,329640660.0,0.02627745045527584
2020-01-31,ABEV3,15.41,374764093.0,0.02748459383753501
2020-02-29,ABEV3,12.55,657009389.0,0.0337414030261348
2020-03-31,ABEV3,10.29,332646234.0,0.04115771812080537
2020-04-30,ABEV3,9.79,405902576.0,0.04326278659611993
2020-05-31,ABEV3,10.77,574830230.0,0.039310897435897434
2020-06-30,ABEV3,12.2,497115480.0,0.034695898161244694
2020-07-31,ABEV3,12.0,951590858.0,0.03529496402877698
2020-08-31,ABEV3,10.62,479205558.0,0.03985377741673436
2020-09-30,ABEV3,10.82,299190139.0,0.03912280701754386
2020-10-31,ABEV3,10.51,575913272.0,0.040279146141215104
2020-11-30,ABEV3,12.07,589778910.0,0.035092989985693844
2020-12-31,ABEV3,13.81,307013521.0,0.02643450479233227
2021-01-31,ABEV3,13.4,353242142.0,0.032455327597617475
2021-02-28,ABEV3,12.43,480214562.0,0.03497860199714693
2021-03-31,ABEV3,13.56,224243803.0,0.03207325049051668
2021-04-30,ABEV3,13.25,445275320.0,0.03282463186077644
2021-05-31,ABEV3,15.91,180505657.0,0.02732033426183844
2021-06-30,ABEV3,15.13,496857024.0,0.028728763913298185
2021-07-31,ABEV3,14.75,402796124.0,0.029471153846153845
2021-08-31,ABEV3,15.16,477779157.0,0.028678362573099414
2021-09-30,ABEV3,13.57,606080064.0,0.03205228758169935
2021-10-31,ABEV3,15.06,759597878.0,0.02886403766921719
2021-11-30,ABEV3,14.24,876157115.0,0.03053549190535492
2021-12-31,ABEV3,14.14,182602739.0,0.04411802853437095
2022-01-31,ABEV3,13.73,319525831.0,0.04032064128256513
2022-02-28,ABEV3,13.94,649544279.0,0.039710526315789474
2022-03-31,ABEV3,14.12,366110538.0,0.0391948051948052
2022-04-30,ABEV3,13.32,384931858.0,0.0415702479338843
2022-05-31,ABEV3,13.01,397829855.0,0.0425369978858351
2022-06-30,ABEV3,12.29,306950014.0,0.04504477611940299
2022-07-31,ABEV3,13.69,610983756.0,0.04042866711319491
2022-08-31,ABEV3,14.0,349093991.0,0.03952848722986248
2022-09-30,ABEV3,14.25,438253002.0,0.03884169884169884
2022-10-31,ABEV3,14.67,425517064.0,0.037725
2022-11-30,ABEV3,14.6,522706612.0,0.03791457286432161
2022-12-31,ABEV3,13.91,324260407.0,0.0525
2023-01-31,ABEV3,13.08,485072942.0,0.055805270863836014
2023-02-28,ABEV3,12.82,529038272.0,0.056930545182972365
2023-03-31,ABEV3,13.72,981523952.0,0.05319609211444522
2023-04-30,ABEV3,13.56,310183222.0,0.05383474576271186
2023-05-31,ABEV3,13.8,591488498.0,0.05290076335877862
2023-06-30,ABEV3,14.76,281284758.0,0.04946787800129786
2023-07-31,ABEV3,14.23,251798739.0,0.05129878869448183
2023-08-31,ABEV3,13.26,625580339.0,0.055079479768786126
2023-09-30,ABEV3,12.56,299893628.0,0.058146453089244855
2023-10-31,ABEV3,12.32,822475224.0,0.05927682737169518
2023-11-30,ABEV3,13.11,572314998.0,0.05568298027757487
2012-12-31,AEDU3,34.32,15448218.0,8.181747179635522e-05
2013-01-31,AEDU3,38.47,80009780.0,7.299174193548387e-05
2013-02-28,AEDU3,40.7,49348003.0,6.898609756097561e-05
2013-03-31,AEDU3,32.36,49688669.0,8.676165644171779e-05
2013-04-30,AEDU3,35.74,81731278.0,0.0002859825
2013-05-31,AEDU3,13.34,66037019.0,0.0007665949367088608
2013-06-30,AEDU3,12.81,67902741.0,0.0007980906976744186
2013-07-31,AEDU3,13.73,44599553.0,0.0007444229934924078
2013-08-31,AEDU3,13.75,120132494.0,0.0007433480144404332
2013-09-30,AEDU3,13.17,38038054.0,0.0007764230769230769
2013-10-31,AEDU3,13.31,68197641.0,0.0007683111940298507
2013-11-30,AEDU3,15.75,33995380.0,0.000649140605296343
2013-12-31,AEDU3,14.8,24015528.0,0.0006909644295302013
2014-01-31,AEDU3,12.61,47289838.0,0.0008106590551181103
2014-02-28,AEDU3,13.04,88138720.0,0.000784110434120335
2014-03-31,AEDU3,13.9,72885473.0,0.0007353835714285714
2014-04-30,AEDU3,13.71,60752192.0,0.000197541884057971
2014-05-31,AEDU3,15.99,46009745.0,0.00016932161490683227
2014-06-30,AEDU3,18.4,134962481.0,0.006639804782608696
2014-07-31,AEDU3,18.35,78138860.0,0.0066578968937329695
2012-12-31,AELP3,13.83,31428.0,0.11362852484557309
2013-01-31,AELP3,12.23,11345.0,0.12843813863460046
2013-02-28,AELP3,11.0,458244.0,0.14284448723037102
2013-03-31,AELP3,9.44,14387.0,0.16638870422110555
2013-04-30,AELP3,7.88,45702.0,0.0
2013-05-31,AELP3,7.47,65183.0,0.0
2013-06-30,AELP3,7.59,0.0,0.0
2013-07-31,AELP3,7.12,7494.0,0.0
2013-08-31,AELP3,7.45,3997.0,0.0
2013-09-30,AELP3,10.32,51277.0,0.0
2013-10-31,AELP3,9.42,60563.0,0.0
2013-11-30,AELP3,8.77,919.0,0.00572337062023939
2013-12-31,AELP3,8.82,924.0,0.005692399999999999
2014-01-31,AELP3,7.15,749.0,0.0070224
2014-02-28,AELP3,7.07,741.0,0.007098215384615384
2014-03-31,AELP3,7.11,3715.0,0.0070601041610738255
2014-04-30,AELP3,6.6,3510.0,0.023170826578560937
2014-05-31,AELP3,7.41,0.0,0.020626578954248364
2014-06-30,AELP3,8.04,0.0,0.01901124445783132
2014-07-31,AELP3,8.2,5082.0,0.018629672845336478
2014-08-31,AELP3,8.42,869.0,0.01815803555811277
2014-09-30,AELP3,7.46,0.0,0.020492640129870128
2014-10-31,AELP3,6.49,2680.0,0.023551243134328353
2014-11-30,AELP3,7.6,0.0,0.03005587220779221
2014-12-31,AELP3,9.22,0.0,0.024778395717344758
2015-01-31,AELP3,7.17,9625.0,0.03187744022038568
2015-02-28,AELP3,8.89,135824.0,0.025714468444444447
2015-03-31,AELP3,8.18,2450.0,0.027916793244873346
2015-04-30,AELP3,8.37,3392.0,0.014886163089622644
2015-05-31,AELP3,8.89,0.0,0.01402607366666667
2015-06-30,AELP3,11.25,21022.0,0.01107321605263158
2015-07-31,AELP3,9.08,0.0,0.013721159021739135
2015-08-31,AELP3,7.39,749.0,0.016853760080106812
2015-09-30,AELP3,6.54,2020.0,0.019068680211480366
2015-10-31,AELP3,5.28,19919.0,0.023595264112149537
2015-11-30,AELP3,4.94,34570.0,0.0
2015-12-31,AELP3,5.59,0.0,0.0
2016-01-31,AELP3,5.3,0.0,0.0
2016-02-29,AELP3,6.02,0.0,0.0
2016-03-31,AELP3,9.77,5585.0,0.0
2016-04-30,AELP3,9.99,6198.0,0.012741403263263264
2016-05-31,AELP3,9.65,3725.0,0.013190323170984456
2016-06-30,AELP3,9.09,0.0,0.014002928338833884
2016-07-31,AELP3,14.0,0.0,0.00909190132857143
2016-08-31,AELP3,12.84,0.0,0.009913288052959502
2016-09-30,AELP3,11.95,2395.0,0.01065159988284519
2016-10-31,AELP3,11.7,0.0,0.010879198170940173
2016-11-30,AELP3,10.69,1069.0,0.011907073769878393
2016-12-31,AELP3,13.01,7402.0,0.00978375239046887
2017-01-31,AELP3,14.04,0.0,0.009065998475783477
2017-02-28,AELP3,14.04,0.0,0.009065998475783477
2017-03-31,AELP3,14.04,0.0,0.009065998475783477
2017-04-30,AELP3,14.04,0.0,0.009065998475783477
2017-05-31,AELP3,14.04,0.0,0.009065998475783477
2017-06-30,AELP3,7.49,0.0,0.0
2017-07-31,AELP3,5.9,0.0,0.0
2017-08-31,AELP3,5.9,0.0,0.0
2017-09-30,AELP3,6.0,4200.0,0.0
2017-10-31,AELP3,5.7,570.0,0.0
2017-11-30,AELP3,4.79,479.0,0.0
2017-12-31,AELP3,5.01,0.0,0.0
2018-01-31,AELP3,4.44,444.0,0.0
2018-02-28,AELP3,2.94,25078.0,0.0
2018-03-31,AELP3,2.34,5268.0,0.0
2018-04-30,AELP3,2.69,32384.0,0.0
2018-05-31,AELP3,2.01,2010.0,0.0
2018-06-30,AELP3,1.44,0.0,0.0
2018-07-31,AELP3,2.08,6924.0,0.0
2018-08-31,AELP3,1.99,761.0,0.0
2018-09-30,AELP3,1.93,2337.0,0.0
2022-03-31,AERI3,5.8,11402970.0,0.003569371924137931
2022-04-30,AERI3,4.88,11565634.0,0.004242286303278689
2022-05-31,AERI3,3.56,4993656.0,0.005815268865168539
2022-06-30,AERI3,2.8,5724037.0,0.007393698985714286
2022-07-31,AERI3,3.0,9768970.0,0.00690078572
2022-08-31,AERI3,2.32,9725666.0,0.008923429810344828
2022-09-30,AERI3,2.01,9699830.0,0.010299680179104478
2022-10-31,AERI3,1.85,15719468.0,0.011190463329729729
2022-11-30,AERI3,1.44,18915671.0,0.014376636916666668
2022-12-31,AERI3,1.13,11788326.0,0.018320670053097347
2023-01-31,AERI3,1.59,10061511.0,0.013020350415094339
2023-02-28,AERI3,1.33,10385172.0,0.01556568207518797
2023-03-31,AERI3,1.18,4451127.0,0.0
2023-04-30,AERI3,1.57,6921075.0,0.0
2023-05-31,AERI3,1.49,4003597.0,0.0
2023-06-30,AERI3,1.33,12382087.0,0.0
2023-07-31,AERI3,1.2,4194634.0,0.0
2023-08-31,AERI3,0.95,8788700.0,0.0
2023-09-30,AERI3,0.83,4957135.0,0.0
2023-10-31,AERI3,0.85,5384481.0,0.0
2023-11-30,AERI3,0.87,1876916.0,0.0
2021-05-31,AESB3,13.76,23658985.0,0.012194883392269146
2021-06-30,AESB3,13.69,11447513.0,0.012256296474100719
2021-07-31,AESB3,13.66,13951443.0,0.012282806127613554
2021-08-31,AESB3,15.06,72397441.0,0.015169732812746386
2021-09-30,AESB3,12.15,76763306.0,0.018801574381921825
2021-10-31,AESB3,10.79,18594258.0,0.02118195719357798
2021-11-30,AESB3,11.18,17580405.0,0.020432153399115045
2021-12-31,AESB3,10.95,24025437.0,0.020856669684733514
2022-01-31,AESB3,11.69,10973779.0,0.019549816546147333
2022-02-28,AESB3,11.4,10731304.0,0.020041956025173613
2022-03-31,AESB3,11.91,9675760.0,0.019176356595514952
2022-04-30,AESB3,10.93,38200620.0,0.02089441931312217
2022-05-31,AESB3,10.79,33484353.0,0.005552368111926605
